franchise_id,franchise_name,vendor_code,store_name,city_name,vertical_type,has_history,orders_7d,ept_old,ept_new,reduction_min,reduction_pct,ept_new_tes,reduction_tes_min,estimated_minutes_reduced_7d,awt_old,slow_share,non_seamless_share,imputed_blocks,capped_blocks,ept_target_requested,adjustment_origin,adjustment_scope,source_franchise_id,wave,flag,input_row_number,apply_change,change_type,franchise_group_id,franchise_group_name
0011r00002VoHmEAAV,Doña Carne,491122,Doña Carne- San Pablo,Santiago,butchery,True,84.0,15.2157,16.7926,-1.5769,-0.1036,16.2857,-1.07,-89.88,5.2865,0.369,0.4405,7,15,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
,,7462,Kome Y Kaya,Vina del mar,restaurants,True,113.0,13.7358,17.3452,-3.6093,-0.2628,16.8407,-3.1049,-350.85,2.8567,0.0442,0.115,0,15,18.0,manual,vendor,,,manual_adjustment,2.0,True,increase,VENDOR_7462,Independent / Kome Y Kaya
0011r00002VoHw2AAF,KFC,435680,KFC - El Belloto,Vina del mar,restaurants,True,245.0,11.8692,12.6453,-0.7761,-0.0654,11.9633,-0.0941,-23.05,3.0349,0.0041,0.098,0,17,14.0,manual,vendor,,,manual_adjustment,57.0,True,increase,0011r00002VoHw2AAF,KFC
0011r00002VoHw2AAF,KFC,484236,KFC Balmaceda La Serena,La serena,restaurants,True,730.0,20.4819,9.1083,11.3736,0.5553,8.8493,11.6326,8491.78,4.3288,0.1699,0.2466,0,14,10.0,manual,vendor,,,manual_adjustment,31.0,True,reduction,0011r00002VoHw2AAF,KFC
0011r00002VoHw2AAF,KFC,161827,KFC Calama,Calama,restaurants,True,750.0,12.1171,16.512,-4.3949,-0.3627,16.148,-4.0309,-3023.15,6.0442,0.0747,0.148,0,13,16.0,manual,vendor,,,manual_adjustment,21.0,True,increase,0011r00002VoHw2AAF,KFC
0011r00002VoHw2AAF,KFC,531058,KFC Centro Calama,Calama,restaurants,True,908.0,20.9557,7.7173,13.2384,0.6317,7.4482,13.5074,12264.74,4.8289,0.1035,0.1652,0,13,12.0,manual,vendor,,,manual_adjustment,4.0,True,reduction,0011r00002VoHw2AAF,KFC
0011r00002VoHw2AAF,KFC,465572,KFC Chamisero,Santiago,restaurants,True,229.0,13.4166,13.2063,0.2102,0.0157,12.9607,0.4559,104.39,2.6053,0.0568,0.1354,0,19,16.0,manual,vendor,,,manual_adjustment,46.0,True,reduction,0011r00002VoHw2AAF,KFC
0011r00002VoHw2AAF,KFC,151214,KFC Coquimbo,La serena,restaurants,True,443.0,12.3335,14.8059,-2.4724,-0.2005,13.9797,-1.6462,-729.25,5.326,0.1129,0.1964,0,20,16.0,manual,vendor,,,manual_adjustment,63.0,True,increase,0011r00002VoHw2AAF,KFC
0011r00002VoHw2AAF,KFC,130023,KFC Curicó,Curico,restaurants,True,188.0,6.0597,10.1602,-4.1004,-0.6767,10.0,-3.9403,-740.77,3.0999,0.0213,0.1489,0,21,13.0,manual,vendor,,,manual_adjustment,45.0,True,increase,0011r00002VoHw2AAF,KFC
0011r00002VoHw2AAF,KFC,559429,KFC El Mariscal,Santiago,restaurants,True,421.0,13.8219,14.2843,-0.4624,-0.0335,13.6841,0.1378,58.01,5.6009,0.0475,0.1544,0,16,15.0,manual,vendor,,,manual_adjustment,18.0,True,reduction,0011r00002VoHw2AAF,KFC
0011r00002VoHw2AAF,KFC,131766,KFC Espacio M,Santiago,restaurants,True,294.0,16.5143,9.3006,7.2137,0.4368,8.8605,7.6537,2250.2,4.8995,0.0816,0.1667,0,16,11.0,manual,vendor,,,manual_adjustment,19.0,True,reduction,0011r00002VoHw2AAF,KFC
